reduction,phase,wavelength_micron,planet_star_flux_ppm,flux_error_ppm,blackbody_star_brightness_temperature_k,temperature_error_k,used_in_5p25_10p25_summary
fiducial,0.5,7.25,5505.7418675714,54.655800510532416,1542.5292614098798,8.614636212699565,True
fiducial,0.5,7.75,6022.76525127647,56.109178656886165,1593.490538246043,8.767842395013304,True
fiducial,0.5,8.25,6265.147805649645,70.19875114046651,1604.487227617581,10.961847577705157,True
fiducial,0.5,8.75,6387.858133845735,73.77098292329991,1599.504376743343,11.541044495542337,True
fiducial,0.5,9.25,7239.313215826032,83.52482217037358,1710.4755574458256,12.960876873565894,True
fiducial,0.5,9.75,7508.029501590685,108.3364118028521,1732.806373936836,16.8314807348994,True
fiducial,0.5,10.25,7261.457940508146,118.55265511252432,1676.616118267987,18.5411337878744,True
fiducial,0.5,10.75,7542.75427320255,164.39733202876263,1704.3104964478232,25.73330727720895,False
fiducial,0.5,11.25,7679.430499543999,247.79914305338124,1710.787513183793,38.878863529539444,False
fiducial,0.5,11.75,7430.378973241124,287.2374317431393,1657.7482286204408,45.31034094365839,False
fiducial,0.75,5.25,2453.1189990306466,66.16246558880026,1194.4889240479083,12.626812669214019,True
fiducial,0.75,5.75,2511.197032787739,57.58870509630397,1155.3887908454321,10.832091096698377,True
fiducial,0.75,6.25,2825.7463461784914,69.30773667141656,1169.6272421579042,12.539943214604818,True
fiducial,0.75,6.75,2422.00027731761,71.22530703215735,1056.915290250332,13.361522544723925,True
fiducial,0.75,7.25,3074.438692301881,72.53543302007185,1141.105854167067,12.761335201542693,True
fiducial,0.75,7.75,3461.706991039401,76.64280015954019,1177.5734447486495,13.119629783457526,True
fiducial,0.75,8.25,3737.750718269722,76.48349358690362,1196.7850185554382,12.89203596811717,True
fiducial,0.75,8.75,3933.417984506816,88.08761542154353,1204.585299276016,14.71592024895267,True
fiducial,0.75,9.25,4058.314169759502,96.30977164201126,1202.6535544013482,16.01367132536018,True
fiducial,0.75,9.75,4444.8332797620615,95.35192594205334,1245.758610411411,15.660112017643314,True
fiducial,0.75,10.25,4372.433298377538,118.41522985794415,1214.8448824326076,19.508007471544374,True
fiducial,0.75,10.75,5160.947261153286,269.75900484099174,1326.0670106441082,43.64843060779481,False
fiducial,0.75,11.25,5829.419786353092,343.53909562544874,1417.7619944990247,55.04868412654059,False
fiducial,0.75,11.75,6085.798105135537,370.8887753108921,1444.2401058031207,59.352069477802615,False
eureka_v1,0.0,5.25,1161.0193294936,83.20846476661829,917.2392990265112,20.905708870656042,True
eureka_v1,0.0,5.75,1132.5114520696,73.17525462527072,863.730310059347,18.209842040303386,True
eureka_v1,0.0,6.25,1277.0770490167,65.58492768581114,858.0989280715278,15.307759185210159,True
eureka_v1,0.0,6.75,1150.0823546455,60.46877540331485,792.6688544567212,14.449955014801333,True
eureka_v1,0.0,7.25,1399.4756269963,88.63294578901194,818.1760410882106,19.48175867539703,True
eureka_v1,0.0,7.75,1871.3873035204,96.7557464325561,887.4863609788117,19.231587631651166,True
eureka_v1,0.0,8.25,2166.3886050017004,96.06283876611218,918.0728556349502,18.226696162978328,True
eureka_v1,0.0,8.75,2243.9670214043003,84.77457028594208,908.3956080819103,15.858277378514515,True
eureka_v1,0.0,9.25,2568.4859603899,110.175111269,945.7660662281731,19.906854982901052,True
eureka_v1,0.0,9.75,2803.4186503901,94.64431838205017,967.2748676039291,16.7508267352581,True
eureka_v1,0.0,10.25,2867.0370001878,119.94638487235,959.6402561208859,21.092550713393166,True
eureka_v1,0.0,10.75,1593.4962577914,365.7856443732,706.5702127246423,73.04412658818995,False
eureka_v1,0.0,11.25,2627.8669284848,334.40817090755,884.0125788354683,59.513865640332426,False
eureka_v1,0.0,11.75,3476.6864961037,386.86592161285,1016.3217575974897,65.76657632752108,False
eureka_v1,0.25,5.25,2983.3098014640923,67.41174464700538,1292.582723870747,12.123202080419219,True
eureka_v1,0.25,5.75,3293.3855134571536,60.534083903533976,1296.7335026555008,10.558651995441096,True
eureka_v1,0.25,6.25,3460.248403580805,57.03013960646356,1281.3999231586793,9.805991192101715,True
eureka_v1,0.25,6.75,3026.270287894833,55.578653152364794,1166.8915482808925,9.843976968798984,True
