reduction,wavelength_min_micron,wavelength_max_micron,n_wavelength_bins,aggregation_rule,error_rule,offset_deg,formal_error_deg,semi_amplitude_ppm,chi_square,dof
eureka_v1,5.25,9.25,9,trapezoid,mean,-8.90862816183735,0.481180836515942,2133.109913718259,107.53860340864762,1
eureka_v1,5.25,9.25,9,trapezoid,maximum,-8.887183873405728,0.4902128622796953,2134.9652556326696,103.37893450651487,1
eureka_v1,5.25,9.25,9,uniform,mean,-8.88817626691168,0.4810092903801735,2139.9107648705535,118.39070661938322,1
eureka_v1,5.25,9.25,9,uniform,maximum,-8.855440375319228,0.4906005861299443,2142.418389416181,113.2554317585948,1
eureka_v1,5.25,9.25,9,inverse_variance,mean,-9.276186638980988,0.4650399948159638,2088.882355271702,119.70325115540895,1
eureka_v1,5.25,9.25,9,inverse_variance,maximum,-9.139170484046119,0.4748902002297939,2090.1520622187522,109.00326162347463,1
eureka_v1,5.25,9.75,10,trapezoid,mean,-9.097179670281497,0.46842989690467984,2167.77346883659,125.2166148947973,1
eureka_v1,5.25,9.75,10,trapezoid,maximum,-9.068531029191853,0.47807974403570164,2170.2748698168252,119.98981542262293,1
eureka_v1,5.25,9.75,10,uniform,mean,-9.250234892995161,0.45865022057638605,2169.792589694487,136.22096878962844,1
eureka_v1,5.25,9.75,10,uniform,maximum,-9.224703311692842,0.4674784177257729,2172.351112072407,130.82072659044974,1
eureka_v1,5.25,9.75,10,inverse_variance,mean,-9.349763396209823,0.4520473874291051,2076.57467772568,113.14834385101904,1
eureka_v1,5.25,9.75,10,inverse_variance,maximum,-9.176484033822385,0.46135624085020677,2076.1060142630304,102.69950630724078,1
eureka_v1,5.25,10.25,11,trapezoid,mean,-9.45816668985631,0.4543037827048986,2186.5365337078865,138.2872492397752,1
eureka_v1,5.25,10.25,11,trapezoid,maximum,-9.433787055618225,0.46270818655201484,2188.998741474061,133.0469607111337,1
eureka_v1,5.25,10.25,11,uniform,mean,-9.582941737334478,0.45718592316598894,2178.620655038568,140.42721403438043,1
eureka_v1,5.25,10.25,11,uniform,maximum,-9.553993853161003,0.46576143574673523,2180.9823696369535,135.36382346988418,1
eureka_v1,5.25,10.25,11,inverse_variance,mean,-9.450958706873728,0.44432140738383463,2068.180186310624,111.5945028024192,1
eureka_v1,5.25,10.25,11,inverse_variance,maximum,-9.290293970811422,0.45410643841369147,2067.0060334332525,101.34356313961146,1
eureka_v1,5.75,8.25,6,trapezoid,mean,-8.45338911353993,0.5713396305016731,2131.381776740237,80.7344506221192,1
eureka_v1,5.75,8.25,6,trapezoid,maximum,-8.399840316868517,0.5818826619479593,2132.2234772270804,77.69155737477185,1
eureka_v1,5.75,8.25,6,uniform,mean,-8.652039048210971,0.5584701024307357,2129.6177397824517,80.16950705587733,1
eureka_v1,5.75,8.25,6,uniform,maximum,-8.63548901631088,0.5687014144931712,2130.8171795449907,77.27465392378025,1
eureka_v1,5.75,8.25,6,inverse_variance,mean,-8.488719238169253,0.5323304517899059,2145.8233871282664,106.43343095568301,1
eureka_v1,5.75,8.25,6,inverse_variance,maximum,-8.344331692748575,0.5445488252945014,2145.216697114928,98.61217240452922,1
eureka_v1,5.75,8.75,7,trapezoid,mean,-8.658820698959317,0.5457518195858713,2128.3335096949577,76.77395618404623,1
eureka_v1,5.75,8.75,7,trapezoid,maximum,-8.638078275562966,0.5564692703754535,2129.605719680089,73.86933066328113,1
eureka_v1,5.75,8.75,7,uniform,mean,-8.930570611506134,0.5263821723103517,2125.2308664740294,78.97041720837318,1
eureka_v1,5.75,8.75,7,uniform,maximum,-8.914780515835607,0.5364244479623164,2126.7289900766127,76.08956795428413,1
eureka_v1,5.75,8.75,7,inverse_variance,mean,-8.80322478903578,0.5072986986374843,2121.1752678448634,96.62957111270127,1
eureka_v1,5.75,8.75,7,inverse_variance,maximum,-8.65819691572801,0.5184135841747404,2121.6489623610355,88.85263541179626,1
eureka_v1,5.75,9.25,8,trapezoid,mean,-8.865698861870218,0.5183969108817381,2147.610376921439,88.24722991990204,1
eureka_v1,5.75,9.25,8,trapezoid,maximum,-8.841615574395183,0.5288803133402391,2149.460808395006,84.73720748134272,1
eureka_v1,5.75,9.25,8,uniform,mean,-8.983623277743852,0.5114265111111127,2164.2913443135694,99.32671056474112,1
eureka_v1,5.75,9.25,8,uniform,maximum,-8.954451531501334,0.5218569540784417,2166.717912467973,95.09252574288786,1
eureka_v1,5.75,9.25,8,inverse_variance,mean,-8.953256706667823,0.48729212213312056,2137.8485107276665,111.88256170901327,1
eureka_v1,5.75,9.25,8,inverse_variance,maximum,-8.817690269469571,0.4964976478012826,2140.5636221587115,102.39282730446533,1
eureka_v1,5.75,9.75,9,trapezoid,mean,-9.082475073441532,0.5013917319468071,2184.9561749825434,106.18518922468897,1
eureka_v1,5.75,9.75,9,trapezoid,maximum,-9.051109991177988,0.5115471244875502,2187.517979916244,101.63316472447264,1
eureka_v1,5.75,9.75,9,uniform,mean,-9.365681689438638,0.4843910356712966,2195.0069192298843,117.17409035350161,1
eureka_v1,5.75,9.75,9,uniform,maximum,-9.343678111768675,0.4935782155380375,2197.4849953300713,112.6393405836047,1
eureka_v1,5.75,9.75,9,inverse_variance,mean,-9.003171350278913,0.4701624039227994,2126.873794554861,107.44399301012058,1
eureka_v1,5.75,9.75,9,inverse_variance,maximum,-8.83230363512281,0.4802119440675332,2127.921653932098,98.20782487165505,1
eureka_v1,5.75,10.25,10,trapezoid,mean,-9.478260675476006,0.4841156335128751,2204.1622257247514,119.59851458978224,1
eureka_v1,5.75,10.25,10,trapezoid,maximum,-9.4516733975831,0.49274635299497316,2206.6723863440016,114.98740864909982,1
eureka_v1,5.75,10.25,10,uniform,mean,-9.713831877189955,0.4827715958505614,2202.69637940708,122.20755057395253,1
eureka_v1,5.75,10.25,10,uniform,maximum,-9.687692776392325,0.49080919989369143,2204.963863071704,117.92328708630906,1
eureka_v1,5.75,10.25,10,inverse_variance,mean,-9.098729798148923,0.4609119930921439,2118.7945671852567,107.11889397993238,1
eureka_v1,5.75,10.25,10,inverse_variance,maximum,-8.942134636544342,0.4706499771656709,2119.1745398953844,98.07766712007079,1
eureka_v1,6.25,8.25,5,trapezoid,mean,-8.275237959566066,0.650477975282143,2128.93173721055,62.49440114297493,1
eureka_v1,6.25,8.25,5,trapezoid,maximum,-8.219789736183396,0.6615155829257406,2129.1640428253254,60.469438725132704,1
eureka_v1,6.25,8.25,5,uniform,mean,-8.300673574663705,0.6261589363673821,2129.9477728396496,62.03261255136162,1
eureka_v1,6.25,8.25,5,uniform,maximum,-8.27725883191243,0.6380492199457346,2131.1352232615923,59.646794351260105,1
eureka_v1,6.25,8.25,5,inverse_variance,mean,-7.906197089523137,0.5914899514588181,2157.2147929741072,86.15521592455808,1
eureka_v1,6.25,8.25,5,inverse_variance,maximum,-7.65797008681584,0.6069221199467125,2155.4876924007617,77.85471610759438,1
